省份,城市,河流,流域,断面名称,监测时间,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-1 12:00,8.768,8.667,2.879,0.0478,0.0125,0.122
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-1 12:00,8.44,7.112,2.184,0.025,0.0639,1.417
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-1 16:00,7.954,7.771,2.357,0.0731,0.0341,0.951
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-1 16:00,9.187,13.322,5.663,0.0385,0.1072,0.847
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-1 16:00,7.614,9.499,4.392,0.026,0.076,0.737
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-1 16:00,8.904,9.194,2.607,0.0382,0.013,0.113
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-1 16:00,8.78,8.701,2.804,0.025,0.0674,1.447
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-1 20:00,7.88,7.588,2.726,0.0833,0.0388,1.036
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-1 20:00,8.809,9.715,10.233,0.0998,0.1251,1.131
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-1 20:00,7.548,8.95,4.606,0.0309,0.0892,0.857
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-1 20:00,8.857,8.604,2.86,0.0532,0.0122,0.109
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-1 20:00,8.83,8.284,2.902,0.025,0.0671,1.43
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-2 0:00,7.878,7.563,2.726,0.0787,0.0439,1.036
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-2 0:00,8.464,7.891,10.233,0.2726,0.1118,1.131
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-2 0:00,7.426,7.513,4.606,0.0317,0.0895,0.857
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-2 0:00,8.809,8.335,2.86,0.0515,0.012,0.093
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-2 0:00,8.84,7.982,2.761,0.025,0.067,1.364
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-2 4:00,7.862,7.517,2.771,0.0838,0.043,1.078
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-2 4:00,8.059,6.817,8.327,0.4086,0.1112,1.327
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-2 4:00,7.721,8.372,4.879,0.025,0.1096,0.766
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-2 4:00,8.776,7.939,2.654,0.0542,0.0129,0.101
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-2 4:00,8.76,7.453,2.699,0.025,0.061,1.317
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-2 8:00,7.851,7.554,2.934,0.0803,0.0391,1.04
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-2 8:00,8.128,7.009,7.104,0.3282,0.1048,1.144
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-2 8:00,7.726,8.037,4.661,0.025,0.1071,0.805
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-2 8:00,8.759,7.979,2.841,0.0564,0.0119,0.094
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-2 8:00,8.69,7.439,2.56,0.025,0.0645,1.41
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-2 12:00,7.908,7.717,2.878,0.0848,0.0478,1.136
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-2 12:00,8.156,7.464,7.771,0.2733,0.1052,1.055
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-2 12:00,7.696,8.614,5.043,0.025,0.1088,0.877
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-2 12:00,8.777,8.31,2.805,0.0525,0.0125,0.096
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-2 12:00,8.87,8.302,2.892,0.025,0.0658,1.399
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-2 16:00,7.939,7.86,3.471,0.0773,0.0503,1.137
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-2 16:00,8.152,7.45,3.465206647,0.2739,0.051215064,1.057
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-2 16:00,7.813,9.192,5.758,0.025,0.1096,0.877
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-2 16:00,8.825,8.698,2.799,0.0513,0.014,0.095
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-2 16:00,8.92,8.627,2.969,0.025,0.0642,1.395
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-2 20:00,7.926,7.747,3.111,0.0765,0.0535,1.215
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-2 20:00,8.106,7.081,8.594,0.5612,0.051216654,1.369
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-2 20:00,7.754,8.56,5.834,0.025,0.1201,0.903
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-2 20:00,8.724,8.177,3.027,0.0519,0.0136,0.078
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-2 20:00,8.87,8.027,3.012,0.025,0.0654,1.445
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-3 0:00,7.907,7.668,3.111,0.0875,0.0534,1.217
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-3 0:00,8.032,6.726,8.594,0.6538,0.051218244,1.442
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-3 0:00,7.674,7.938,5.834,0.025,0.1208,0.87
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-3 0:00,8.718,8.001,3.027,0.0517,0.0131,0.092
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-3 0:00,8.86,7.659,2.896,0.025,0.063,1.331
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-3 4:00,7.901,7.68,3.25,0.0849,0.0643,1.224
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-3 4:00,8.024,6.771,10.6,0.5848,0.051219834,1.576
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-3 4:00,7.585,7.301,6.418,0.025,0.1253,0.915
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-3 4:00,8.596,7.839,2.698,0.0505,0.0148,0.087
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-3 4:00,8.71,7.26,2.706,0.025,0.0592,1.326
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-3 8:00,7.888,7.626,3.623,0.057,0.0563,1.036
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-3 8:00,7.955,6.69,10.601,0.5479,0.051221424,1.54
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-3 8:00,7.578,7.299,6.676,0.025,0.122,0.996
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-3 8:00,8.349,7.764,2.656,0.0537,0.0126,0.053
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-3 8:00,8.61,7.236,2.454,0.025,0.0633,1.421
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-3 12:00,7.941,7.856,3.081,0.0549,0.0519,1.115
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-3 12:00,8.023,6.895,8.974,0.3854,0.051223014,1.258
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-3 12:00,7.632,8.051,6.462,0.025,0.1255,1.027
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-3 12:00,8.489,8.385,3.009,0.0528,0.0131,0.084
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-3 12:00,8.74,7.956,2.709,0.025,0.0611,1.37
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-3 16:00,7.982,8.001,2.905,0.0659,0.0598,1.072
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-3 16:00,8.125,7.406,5.993,0.1568,0.051224604,0.985
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-3 16:00,7.705,8.728,6.474,0.025,0.116,0.945
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-3 16:00,8.617,8.64,2.95,0.0514,0.014,0.084
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-3 16:00,8.96,8.703,2.902,0.025,0.0611,1.316
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-3 20:00,7.987,7.94,3.1,0.0687,0.0622,1.081
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-3 20:00,8.018,7.023,6.008,0.1533,0.0987,0.941
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-3 20:00,7.605,8.129,6.777,0.025,0.1248,0.918
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-3 20:00,8.681,8.459,2.744,0.0513,0.0135,0.087
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-3 20:00,8.71,7.852,3.012,0.025,0.0583,1.298
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-4 0:00,8.085,7.995,3.1,0.0442,0.0622,1.081
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-4 0:00,7.928,6.733,6.008,0.1875,0.1005,0.941
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-4 0:00,7.499,7.844,6.777,0.025,0.1161,0.918
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-4 0:00,8.488,7.999,2.744,0.0514,0.0129,0.087
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-4 0:00,8.79,7.53,2.896,0.025,0.0589,1.292
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-4 4:00,8.115,7.949,3.05,0.0442,0.0535,0.855
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-4 4:00,7.946,6.817,5.893,0.1009,0.1114,0.907
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-4 4:00,7.374,7.324,5.649,0.025,0.1098,0.774
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-4 4:00,8.516,7.806,2.662,0.0553,0.0141,0.092
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-4 4:00,8.37,6.81,3.031,0.127,0.0593,1.386
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-4 8:00,8.12,7.895,3.214,0.036,0.0492,0.849
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-4 8:00,7.934,6.82,5.654,0.0367,0.1166,0.829
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-4 8:00,7.447,7.525,5.725,0.025,0.1189,0.858
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-4 8:00,8.565,7.785,3.034,0.0491,0.0118,0.085
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-4 8:00,8.32,6.961,3.444,0.1272,0.067,1.413
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-4 12:00,8.336,8.455,3.15,0.0339,0.0483,0.837
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-4 12:00,7.941,6.918,5.814,0.0345,0.0921,0.914
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-4 12:00,7.539,8.514,6.453,0.025,0.1328,1.014
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-4 12:00,8.739,8.582,2.655,0.0479,0.0126,0.106
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-4 12:00,8.53,7.527,3.902,0.0297,0.0727,1.334
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-4 16:00,8.333,8.423,3.692,0.0302,0.0762,0.902
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-4 16:00,7.98,7.122,6.268,0.0264,0.1148,0.999
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-4 16:00,7.505,8.474,7.474,0.025,0.1512,1.218
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-4 16:00,8.851,8.81,2.917,0.0488,0.013,0.075
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-4 16:00,8.74,8.375,4.368,0.025,0.0933,1.602
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-4 20:00,8.252,8.165,3.742,0.0304,0.0826,0.917
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-4 20:00,7.972,7.071,6.918,0.025,0.1133,1.101
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-4 20:00,7.371,8.024,6.855,0.025,0.1399,1.095
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-4 20:00,8.651,8.184,2.886,0.0496,0.0148,0.072
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-4 20:00,8.56,7.538,4.432,0.1083,0.0857,1.764
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-5 0:00,8.127,7.967,3.742,0.025,0.0826,0.917
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-5 0:00,7.83,6.968,6.89,0.1429,0.1159,1.174
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-5 0:00,7.974,7.118,6.918,0.025,0.1108,1.101
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-5 0:00,7.274,7.631,6.855,0.025,0.1593,1.095
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-5 0:00,8.724,7.926,2.886,0.0536,0.0161,0.072
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-5 0:00,8.45,7.17,4.215,0.0639,0.0751,1.567
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-5 4:00,8.037,7.909,3.743,0.0293,0.1218,1.092
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-5 4:00,7.84,7.06,6.212,0.1199,0.1133,1.162
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-5 4:00,7.994,7.138,6.761,0.0711,0.1241,1.05
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-5 4:00,7.336,7.51,7.376,0.025,0.1817,1.144
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-5 4:00,8.586,7.777,3.23,0.0517,0.0163,0.077
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-5 4:00,8.33,7.002,4.42,0.1011,0.0873,1.684
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-5 8:00,8.017,7.969,4.488,0.025,0.138,1.012
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-5 8:00,7.816,7.024,6.351,0.1039,0.1135,1.098
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-5 8:00,8.01,7.305,7.071,0.0548,0.1331,1.126
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-5 8:00,7.228,7.331,6.273,0.025,0.1575,1.077
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-5 8:00,8.485,7.814,3.155,0.0481,0.0168,0.063
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-5 8:00,8.31,7.079,4.168,0.0855,0.086,1.725
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-5 12:00,8.03,8.048,4.075,0.0344,0.1362,1.098
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-5 12:00,7.852,7.26,6.391,0.1099,0.1145,1.106
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-5 12:00,8.045,7.532,6.283,0.025,0.1325,1.185
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-5 12:00,7.242,8.026,4.745,0.025,0.1557,0.949
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-5 12:00,8.444,8.089,2.802,0.0482,0.0167,0.054
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-5 12:00,8.41,7.393,4.419,0.0694,0.0877,1.785
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-5 16:00,7.952,8.073,4.076,0.0507,0.1461,1.134
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-5 16:00,8.002,7.913,6.489,0.1123,0.1056,1.169
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-5 16:00,8.019,7.554,6.562,0.025,0.1511,1.275
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-5 16:00,7.385,8.187,5.95,0.025,0.1929,1.235
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-5 16:00,8.435,8.478,3.181,0.043,0.0177,0.186
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-5 16:00,8.47,7.779,4.245,0.091,0.0799,1.714
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-5 20:00,7.961,8.019,3.616,0.0743,0.1209,1.207
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-5 20:00,7.881,7.36,5.796,0.1411,0.1007,1.048
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-5 20:00,7.979,7.112,5.812,0.0455,0.1031,1.039
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-5 20:00,7.312,8.069,3.756,0.025,0.144,1.393
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-5 20:00,8.289,8.117,2.597,0.0525,0.0156,0.054
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-5 20:00,8.46,7.557,4.027,0.0877,0.0735,1.606
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-6 0:00,7.942,7.914,3.616,0.0397,0.0897,1.091
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-6 0:00,7.776,7.003,5.796,0.1429,0.1028,0.952
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-6 0:00,7.932,6.866,5.812,0.0761,0.0939,1.039
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-6 0:00,7.213,7.573,3.756,0.025,0.13,1.026
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-6 0:00,8.203,7.825,2.597,0.0508,0.0144,0.075
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-6 0:00,8.36,7.375,3.603,0.0982,0.0652,1.488
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-6 4:00,7.918,7.768,2.992,0.055,0.0709,1.136
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-6 4:00,7.713,6.962,5.498,0.1276,0.0961,1.045
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-6 4:00,7.917,6.67,6.165,0.1469,0.086,1.07
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-6 4:00,6.978,5.614,3.209,0.025,0.118,1.096
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-6 4:00,7.804,6.233,2.956,0.0604,0.014,0.079
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-6 4:00,8.33,7.126,3.62,0.0883,0.0644,1.425
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-6 8:00,7.931,7.819,3.118,0.0641,0.0563,1.122
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-6 8:00,7.679,6.749,5.238,0.068,0.0936,1.052
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-6 8:00,7.843,6.294,5.008,0.0426,0.0878,1.035
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-6 8:00,7.322,7.756,3.404,0.025,0.1148,1.376
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-6 8:00,7.402,4.401,2.961,0.0579,0.0126,0.062
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-6 8:00,8.32,7.168,3.491,0.1128,0.0637,1.434
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-6 12:00,8.105,8.35,2.6,0.0471,0.0552,1.088
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-6 12:00,8.011,7.873,5.495,0.1039,0.0974,1.201
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-6 12:00,7.98,7.08,4.889,0.055,0.0932,0.989
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-6 12:00,7.256,8.283,3.331,0.025,0.1072,1.144
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-6 12:00,7.583,6.882,2.961,0.0402,0.0126,0.062
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-6 12:00,8.42,7.409,3.597,0.1056,0.062,1.409
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-6 16:00,7.97,8.513,2.975,0.0388,0.0513,0.962
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-6 16:00,8.184,8.665,5.609,0.0859,0.0934,1.232
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-6 16:00,8.763,7.811,3.462862191,0.0546,0.051256723,1.069
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-6 16:00,7.752,9.195,3.326,0.025,0.0989,1.074
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-6 16:00,8.049,7.038,2.734,0.0299,0.0143,0.05
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-6 16:00,8.61,8.165,3.333,0.0879,0.0516,1.306
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-6 20:00,7.925,8.316,3.393,0.0516,0.0523,0.982
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-6 20:00,8.13,8.495,5.84,0.0641,0.0871,1.142
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-6 20:00,8.169,7.845,5.544,0.025,0.0803,0.971
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-6 20:00,7.666,8.588,3.177,0.025,0.0924,1.097
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-6 20:00,8.464,8.143,2.757,0.025,0.0171,0.057
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-6 20:00,8.68,8.215,3.209,0.0495,0.0485,1.222
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-7 0:00,7.764,7.787,3.393,0.0713,0.0523,0.982
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-7 0:00,7.995,7.983,5.84,0.0601,0.0807,1.142
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-7 0:00,8.117,7.539,5.544,0.025,0.0785,0.971
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-7 0:00,7.535,7.53,3.177,0.025,0.0924,1.097
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-7 0:00,8.636,8.696,2.757,0.025,0.0136,0.05
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-7 0:00,8.61,7.937,3.141,0.0355,0.047,1.179
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-7 4:00,7.722,7.698,3.08,0.072,0.0481,1.047
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-7 4:00,8.182,8.36,5.973,0.025,0.0761,0.915
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-7 4:00,7.941,6.88,5.727,0.0482,0.0773,1.082
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-7 4:00,7.545,7.464,3.556,0.025,0.1084,1.048
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-7 4:00,8.256,6.574,2.787,0.0411,0.0126,0.05
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-7 4:00,8.51,7.527,3.037,0.0416,0.0451,1.185
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-7 8:00,7.714,7.691,3.208,0.0684,0.0429,1.012
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-7 8:00,8.181,8.26,6.22,0.025,0.0807,1.209
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-7 8:00,8.174,7.492,5.163,0.0493,0.0675,0.961
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-7 8:00,7.591,7.806,3.682,0.025,0.0985,1.22
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-7 8:00,8.047,6.205,2.862,0.0483,0.0116,0.052
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-7 8:00,8.37,6.95,3.082,0.0627,0.0504,1.237
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-7 12:00,8.045,8.784,2.709,0.0319,0.0388,1.002
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-7 12:00,8.404,10.648,5.779,0.025,0.0767,1.305
江苏省,无锡市,太湖,太湖流域,兰山嘴,2022-9-7 12:00,8.878,10.885,5.796,0.0283,0.0627,1.005
江苏省,无锡市,太湖,太湖流域,拖山,2022-9-7 12:00,7.93,10.085,3.653,0.025,0.082,1.042
江苏省,苏州市,太湖,太湖流域,胥湖心,2022-9-7 12:00,8.091,6.207,2.927,0.025,0.013,0.078
江苏省,无锡市,太湖,太湖流域,锡东水厂,2022-9-7 12:00,8.46,7.244,3.209,0.0463,0.0493,1.233
江苏省,苏州市,太湖,太湖流域,乌龟山南,2022-9-7 16:00,8.348,10.335,2.853,0.0464,0.036,1.097
江苏省,无锡市,太湖,太湖流域,五里湖心,2022-9-7 16:00,8.944,12.796,6.955,0.025,0.0673,1.161
